# Selection     : patch(pipeWall)
# Faces         : 5120
# Area          : 5.65685425e-04
# Time          	average(p_rgh)
0               	0.00000000e+00
1.19904e-05     	2.73551655e+02
2.63616e-05     	2.70522303e+02
4.35873e-05     	2.67471106e+02
6.42437e-05     	2.63913041e+02
8.90212e-05     	2.59706142e+02
0.000118695     	2.54744190e+02
0.000154239     	2.48954809e+02
0.000196861     	2.42285165e+02
0.000247919     	2.34646505e+02
0.00030887      	2.26003328e+02
0.000381736     	2.16189264e+02
0.000469174     	2.05605093e+02
0.000568454     	1.94719163e+02
0.000667733     	1.84789985e+02
0.000767013     	1.75774921e+02
0.000866292     	1.67503061e+02
